0	1	2
118448	4619485	1
118448	8296968	2
118448	1343427	3
118448	3749001	4
118448	1196647	5
118448	6743795	6
118448	68659	7
118448	2500376	8
118448	8763531	9
118448	7815716	10
118448	3778768	11
118448	6857878	12
118448	8763532	13
118448	3221073	14
118448	7815720	15
118448	4602937	16
118448	8028393	17
118448	2513932	18
118448	2000771	19
118448	4015037	20
118448	3512743	21
118448	2113828	22
118448	1186200	23
118448	4015032	24
118448	8804731	25
118448	6743800	26
118448	5222528	27
118448	6183744	28
118448	1186208	29
118448	4619483	30
118448	4015034	31
118448	7815718	32
118448	4602939	33
118448	7815714	34
118448	4602943	35
118448	3778766	36
118448	1186207	37
118448	4015036	38
118448	7071635	39
118448	1186203	40
118448	8606103	41
118448	4602941	42
118448	7071637	43
118448	2513934	44
118448	1186201	45
118448	6743797	46
118448	6857873	47
118448	4619482	48
118448	3749003	49
118448	4602940	50
118448	1689912	51
118448	2000776	52
118448	2000773	53
118448	6572402	54
118448	751733	55
118448	8028395	56
118448	4602938	57
118448	751734	58
118448	7146267	59
118448	4015035	60
118448	1186204	61
118448	2513931	62
118448	2000775	63
118448	2584095	64
118448	6448234	65
118448	3749000	66
118448	1186202	67
118448	8763533	68
118448	6585473	69
118448	751729	70
118448	1914766	71
118448	8763527	72
118448	6342032	73
118448	8606105	74
118448	4602945	75
118448	4500979	76
118448	3960407	77
118448	6492233	78
118448	644412	79
118448	7071641	80
118448	38984	81
118448	3006236	82
118448	3512739	83
118448	2144595	84
118448	5327575	85
118448	1066796	86
118448	6448233	87
118448	644413	88
118448	8799631	89
118448	4544497	90
118448	8763525	91
118448	3279468	92
118448	6448238	93
118448	3918996	94
118448	644415	95
118448	1469139	96
118448	8740368	97
118448	3778764	98
118448	3618180	99
118448	6770209	100
92542	7072003	1
92542	4508392	2
92542	7072002	3
92542	3723162	4
92542	3723160	5
92542	1157800	6
92542	504900	7
92542	3821622	8
92542	3723159	9
92542	2636967	10
92542	3723155	11
92542	6979032	12
92542	2668436	13
92542	1444356	14
92542	6049995	15
92542	3892418	16
92542	3723156	17
92542	2606452	18
92542	347556	19
92542	3723158	20
92542	7398406	21
92542	562012	22
92542	562009	23
92542	3960482	24
92542	942224	25
92542	2270585	26
92542	511343	27
92542	1388862	28
92542	6487168	29
92542	852243	30
92542	3960479	31
92542	1218472	32
92542	3960478	33
92542	4432676	34
92542	1388865	35
92542	838772	36
92542	3723161	37
92542	7071998	38
92542	1341548	39
92542	838764	40
92542	6501851	41
92542	7167129	42
92542	7712094	43
92542	1470216	44
92542	4201765	45
92542	4542482	46
92542	5303227	47
92542	8359760	48
92542	2525442	49
92542	3733194	50
92542	2614857	51
92542	3879032	52
92542	3733195	53
92542	1668672	54
92542	6319354	55
92542	7658424	56
92542	7651509	57
92542	6844903	58
92542	838771	59
92542	510558	60
92542	6881854	61
92542	6881855	62
92542	7072001	63
92542	2683692	64
92542	8624723	65
92542	1907695	66
92542	8359761	67
92542	4759864	68
92542	5984118	69
92542	190815	70
92542	878334	71
92542	1792110	72
92542	6501856	73
92542	8360274	74
92542	2732048	75
92542	2192043	76
92542	8207999	77
92542	3075962	78
92542	5260305	79
92542	3441224	80
92542	2614862	81
92542	8078438	82
92542	122952	83
92542	3918667	84
92542	7036239	85
92542	3537608	86
92542	2103524	87
92542	3537614	88
92542	6501853	89
92542	3537607	90
92542	6875372	91
92542	6875373	92
92542	3537612	93
92542	5466598	94
92542	8145739	95
92542	6772578	96
92542	5221545	97
92542	6772584	98
92542	811056	99
92542	5179252	100
206117	7072158	1
206117	7072154	2
206117	7072155	3
206117	7072159	4
206117	7072160	5
206117	7072157	6
206117	7072162	7
206117	7072161	8
206117	7072156	9
206117	7072153	10
206117	1996531	11
206117	1664264	12
206117	1996528	13
206117	1996535	14
206117	4836594	15
206117	1664259	16
206117	5426636	17
206117	1664266	18
206117	8082810	19
206117	8371807	20
206117	2845235	21
206117	8371803	22
206117	1202833	23
206117	5839183	24
206117	5211863	25
206117	7992298	26
206117	3583041	27
206117	5137773	28
206117	2961432	29
206117	513162	30
206117	1979581	31
206117	2019868	32
206117	2845242	33
206117	1839403	34
206117	8052988	35
206117	1996532	36
206117	1996529	37
206117	513158	38
206117	8486982	39
206117	7634987	40
206117	7634989	41
206117	8467082	42
206117	8012523	43
206117	4836600	44
206117	4618944	45
206117	1996534	46
206117	8012517	47
206117	7634990	48
206117	1123160	49
206117	825585	50
206117	3241016	51
206117	7634991	52
206117	2961437	53
206117	6430633	54
206117	4618948	55
206117	3241011	56
206117	7083431	57
206117	5430536	58
206117	7785652	59
206117	6942535	60
206117	1103055	61
206117	2961436	62
206117	2961438	63
206117	3241017	64
206117	1546660	65
206117	513163	66
206117	6942533	67
206117	2571886	68
206117	849218	69
206117	3640095	70
206117	6609296	71
206117	8742813	72
206117	849217	73
206117	849221	74
206117	1664261	75
206117	8828023	76
206117	6942528	77
206117	7812828	78
206117	6338148	79
206117	6338146	80
206117	7812830	81
206117	849220	82
206117	4618946	83
206117	5174414	84
206117	849216	85
206117	8467083	86
206117	7932306	87
206117	7785654	88
206117	6338147	89
206117	7932300	90
206117	1879473	91
206117	7932299	92
206117	849225	93
206117	6942529	94
206117	7879633	95
206117	5030736	96
206117	5030732	97
206117	3607040	98
206117	7932302	99
206117	7932303	100
206117	7072158	1
206117	7072154	2
206117	7072155	3
206117	7072159	4
206117	7072160	5
206117	7072157	6
206117	7072162	7
206117	7072161	8
206117	7072156	9
206117	7072153	10
206117	1996531	11
206117	1664264	12
206117	1996528	13
206117	1996535	14
206117	4836594	15
206117	1664259	16
206117	5426636	17
206117	1664266	18
206117	8082810	19
206117	8371807	20
206117	2845235	21
206117	8371803	22
206117	1202833	23
206117	5839183	24
206117	5211863	25
206117	7992298	26
206117	3583041	27
206117	5137773	28
206117	2961432	29
206117	513162	30
206117	1979581	31
206117	2019868	32
206117	2845242	33
206117	1839403	34
206117	8052988	35
206117	1996532	36
206117	1996529	37
206117	513158	38
206117	8486982	39
206117	7634987	40
206117	7634989	41
206117	8467082	42
206117	8012523	43
206117	4836600	44
206117	4618944	45
206117	1996534	46
206117	8012517	47
206117	7634990	48
206117	1123160	49
206117	825585	50
206117	3241016	51
206117	7634991	52
206117	2961437	53
206117	6430633	54
206117	4618948	55
206117	3241011	56
206117	7083431	57
206117	5430536	58
206117	7785652	59
206117	6942535	60
206117	1103055	61
206117	2961436	62
206117	2961438	63
206117	3241017	64
206117	1546660	65
206117	513163	66
206117	6942533	67
206117	2571886	68
206117	849218	69
206117	3640095	70
206117	6609296	71
206117	8742813	72
206117	849217	73
206117	849221	74
206117	1664261	75
206117	8828023	76
206117	6942528	77
206117	7812828	78
206117	6338148	79
206117	6338146	80
206117	7812830	81
206117	849220	82
206117	4618946	83
206117	5174414	84
206117	849216	85
206117	8467083	86
206117	7932306	87
206117	7785654	88
206117	6338147	89
206117	7932300	90
206117	1879473	91
206117	7932299	92
206117	849225	93
206117	6942529	94
206117	7879633	95
206117	5030736	96
206117	5030732	97
206117	3607040	98
206117	7932302	99
206117	7932303	100
206117	7072158	1
206117	7072154	2
206117	7072155	3
206117	7072159	4
206117	7072160	5
206117	7072157	6
206117	7072162	7
206117	7072161	8
206117	7072156	9
206117	7072153	10
206117	1996531	11
206117	1664264	12
206117	1996528	13
206117	1996535	14
206117	4836594	15
206117	1664259	16
206117	5426636	17
206117	1664266	18
206117	8082810	19
206117	8371807	20
206117	2845235	21
206117	8371803	22
206117	1202833	23
206117	5839183	24
206117	5211863	25
206117	7992298	26
206117	3583041	27
206117	5137773	28
206117	2961432	29
206117	513162	30
206117	1979581	31
206117	2019868	32
206117	2845242	33
206117	1839403	34
206117	8052988	35
206117	1996532	36
206117	1996529	37
206117	513158	38
206117	8486982	39
206117	7634987	40
206117	7634989	41
206117	8467082	42
206117	8012523	43
206117	4836600	44
206117	4618944	45
206117	1996534	46
206117	8012517	47
206117	7634990	48
206117	1123160	49
206117	825585	50
206117	3241016	51
206117	7634991	52
206117	2961437	53
206117	6430633	54
206117	4618948	55
206117	3241011	56
206117	7083431	57
206117	5430536	58
206117	7785652	59
206117	6942535	60
206117	1103055	61
206117	2961436	62
206117	2961438	63
206117	3241017	64
206117	1546660	65
206117	513163	66
206117	6942533	67
206117	2571886	68
206117	849218	69
206117	3640095	70
